Section,API_Endpoint_Name,API_URL_Template,Our_Endpoint_Key,Our_URL_Template,URL_Match,API_Parameters,Our_Parameters,Param_Match,Missing_Params,Extra_Params,API_Return_Fields,Our_Return_Fields,Return_Match,Issues_Found,Notes
"Operators and Plants","Get Operators","/operators/","operators","operators","Yes","None","None","Yes","None","None","OperatorID (Int32), OperatorName (String)","OperatorID ([Int32]), OperatorName ([String])","Yes","None","Perfect match"
"Operators and Plants","Get Operator Plants","/operators/{id}/plants","operator_plants","operators/{operatorid}/plants","Yes","OPERATORID (path, Int32, required)","OPERATORID (path, dropdown, required)","Yes","None","None","OperatorID (Int32), OperatorName (String), PlantID (String), ShortDescription (String), Project (String), LongDescription (String), CommonLibPlantCode (String), InitialRevision (String), AreaID (Int32), Area (String)","OperatorID ([Int32]), OperatorName ([String]), PlantID ([String]), ShortDescription ([String]), Project ([String]), LongDescription ([String]), CommonLibPlantCode ([String]), InitialRevision ([String]), AreaID ([Int32]), Area ([String])","Yes","None","Perfect match"
"Operators and Plants","Get Plants","/plants/","plants","plants","Yes","None","None","Yes","None","None","OperatorID (Int32), OperatorName (String), PlantID (String), ShortDescription (String), Project (String), LongDescription (String), CommonLibPlantCode (String), InitialRevision (String), AreaID (Int32), Area (String)","OperatorID ([Int32]), OperatorName ([String]), PlantID ([String]), ShortDescription ([String]), Project ([String]), LongDescription ([String]), CommonLibPlantCode ([String]), InitialRevision ([String]), AreaID ([Int32]), Area ([String])","Yes","None","Perfect match"
"Operators and Plants","Get Plant","/plants/{id}","plant","plants/{plantid}","Yes","PLANTID (path, String, required)","PLANTID (path, dropdown, required)","Yes","None","None","OperatorID (Int32), OperatorName (String), PlantID (String), ShortDescription (String), Project (String), LongDescription (String), CommonLibPlantCode (String), InitialRevision (String), AreaID (Int32), Area (String)","OperatorID ([Int32]), OperatorName ([String]), PlantID ([String]), ShortDescription ([String]), Project ([String]), LongDescription ([String]), CommonLibPlantCode ([String]), InitialRevision ([String]), AreaID ([Int32]), Area ([String])","Yes","None","Perfect match"
"Issues - Collection of datasheets","Get Issue Revisions","/plants/{id}/issues","plant_issues","plants/{plantid}/issues","Yes","PLANTID (path, String, required)","PLANTID (path, dropdown, required)","Yes","None","None","IssueRevision (String), Status (String), RevDate (String), ProtectStatus (String), GeneralRevision (String), GeneralRevDate (String), PCSRevision (String), PCSRevDate (String), EDSRevision (String), EDSRevDate (String), VDSRevision (String), VDSRevDate (String), VSKRevision (String), VSKRevDate (String), MDSRevision (String), MDSRevDate (String), ESKRevision (String), ESKRevDate (String), SCRevision (String), SCRevDate (String), VSMRevision (String), VSMRevDate (String)","IssueRevision ([String]), Status ([String]), RevDate ([String]), ProtectStatus ([String]), GeneralRevision ([String]), GeneralRevDate ([String]), PCSRevision ([String]), PCSRevDate ([String]), EDSRevision ([String]), EDSRevDate ([String]), VDSRevision ([String]), VDSRevDate ([String]), VSKRevision ([String]), VSKRevDate ([String]), MDSRevision ([String]), MDSRevDate ([String]), ESKRevision ([String]), ESKRevDate ([String]), SCRevision ([String]), SCRevDate ([String]), VSMRevision ([String]), VSMRevDate ([String])","Yes","None","Perfect match"
"Issues - Collection of datasheets","Get PCS References","/plants/{id}/issues/rev/{revision}/pcs","pcs_references","plants/{plantid}/issues/rev/{issuerev}/pcs","Yes","PLANTID (path, String, required), ISSUEREV (path, String, required)","PLANTID (path, dropdown, required), ISSUEREV (path, dropdown, required)","Yes","None","None","PCS (String), Revision (String), RevDate (String), Status (String), OfficialRevision (String), RevisionSuffix (String), RatingClass (String), MaterialGroup (String), HistoricalPCS (String), Delta (String)","PCS ([String]), Revision ([String]), RevDate ([String]), Status ([String]), OfficialRevision ([String]), RevisionSuffix ([String]), RatingClass ([String]), MaterialGroup ([String]), HistoricalPCS ([String]), Delta ([String])","Yes","API endpoint not found in documentation","We have implemented this endpoint but it doesn't exist in the API docs - may be deprecated or undocumented"
"Issues - Collection of datasheets","Get SC References","/plants/{id}/issues/rev/{revision}/sc","sc_references","plants/{plantid}/issues/rev/{issuerev}/sc","Yes","PLANTID (path, String, required), ISSUEREV (path, String, required)","PLANTID (path, dropdown, required), ISSUEREV (path, dropdown, required)","Yes","None","None","SC (String), Revision (String), RevDate (String), Status (String), OfficialRevision (String), Delta (String)","SC ([String]), Revision ([String]), RevDate ([String]), Status ([String]), OfficialRevision ([String]), Delta ([String])","Yes","API endpoint not found in documentation","We have implemented this endpoint but it doesn't exist in the API docs - may be deprecated or undocumented"
"Issues - Collection of datasheets","Get VSM References","/plants/{id}/issues/rev/{revision}/vsm","vsm_references","plants/{plantid}/issues/rev/{issuerev}/vsm","Yes","PLANTID (path, String, required), ISSUEREV (path, String, required)","PLANTID (path, dropdown, required), ISSUEREV (path, dropdown, required)","Yes","None","None","VSM (String), Revision (String), RevDate (String), Status (String), OfficialRevision (String), Delta (String)","VSM ([String]), Revision ([String]), RevDate ([String]), Status ([String]), OfficialRevision ([String]), Delta ([String])","Yes","API endpoint not found in documentation","We have implemented this endpoint but it doesn't exist in the API docs - may be deprecated or undocumented"
"Issues - Collection of datasheets","Get VDS References","/plants/{id}/issues/rev/{revision}/vds","vds_references","plants/{plantid}/issues/rev/{issuerev}/vds","Yes","PLANTID (path, String, required), ISSUEREV (path, String, required)","PLANTID (path, dropdown, required), ISSUEREV (path, dropdown, required)","Yes","None","None","VDS (String), Revision (String), RevDate (String), Status (String), OfficialRevision (String), Delta (String)","VDS ([String]), Revision ([String]), RevDate ([String]), Status ([String]), OfficialRevision ([String]), Delta ([String])","Yes","API endpoint not found in documentation","We have implemented this endpoint but it doesn't exist in the API docs - may be deprecated or undocumented"
"Issues - Collection of datasheets","Get EDS References","/plants/{id}/issues/rev/{revision}/eds","eds_references","plants/{plantid}/issues/rev/{issuerev}/eds","Yes","PLANTID (path, String, required), ISSUEREV (path, String, required)","PLANTID (path, dropdown, required), ISSUEREV (path, dropdown, required)","Yes","None","None","EDS (String), Revision (String), RevDate (String), Status (String), OfficialRevision (String), Delta (String)","EDS ([String]), Revision ([String]), RevDate ([String]), Status ([String]), OfficialRevision ([String]), Delta ([String])","Yes","API endpoint not found in documentation","We have implemented this endpoint but it doesn't exist in the API docs - may be deprecated or undocumented"
